temperature,temperatureUnit,windDirection,shortForecast
40,F,NW,Mostly Clear
38,F,NW,Mostly Clear
36,F,NW,Mostly Clear
34,F,NW,Partly Cloudy
33,F,NW,Partly Cloudy
33,F,NW,Mostly Cloudy
32,F,NW,Mostly Cloudy
31,F,W,Mostly Cloudy
31,F,W,Mostly Cloudy
30,F,W,Partly Cloudy
29,F,W,Partly Cloudy
29,F,W,Mostly Clear
28,F,W,Sunny
27,F,W,Mostly Sunny
29,F,W,Mostly Cloudy
34,F,W,Mostly Cloudy
36,F,W,Mostly Cloudy
39,F,W,Mostly Sunny
41,F,W,Sunny
43,F,W,Sunny
43,F,W,Sunny
45,F,W,Mostly Sunny
44,F,W,Sunny
42,F,W,Sunny
39,F,W,Clear
38,F,W,Partly Cloudy
37,F,SW,Partly Cloudy
36,F,SW,Mostly Cloudy
34,F,SW,Mostly Cloudy
34,F,SW,Mostly Cloudy
33,F,SW,Mostly Cloudy
33,F,SW,Mostly Cloudy
34,F,SW,Mostly Cloudy
34,F,SW,Mostly Cloudy
35,F,SW,Mostly Cloudy
35,F,SW,Mostly Cloudy
36,F,SW,Partly Sunny
37,F,SW,Partly Sunny
39,F,SW,Mostly Sunny
42,F,SW,Sunny
46,F,SW,Sunny
49,F,SW,Sunny
53,F,SW,Sunny
55,F,SW,Mostly Sunny
57,F,W,Mostly Sunny
57,F,W,Sunny
56,F,W,Sunny
54,F,W,Sunny
